match_id,match_date,home_points,away_points,season,opponent_team,city,Match_arena,home_fg_per,away_fg_per,home_ft_per,away_ft_per,FG3_PCT_home,FG3_PCT_away,home_assists,away_assists,home_rebounds,away_rebounds,home_wins
42000102,2021-05-26,120.0,95.0,2020,Santa Cruz Warriors,Atlanta,Pepsi Center,0.557,0.402,0.684,0.633,0.429,0.091,26.0,22.0,45.0,40.0,1
42000132,2021-05-26,101.0,92.0,2020,South Bay Lakers,Charlotte,Bankers Life Fieldhouse,0.38299999999999995,0.369,0.7390000000000001,0.818,0.364,0.273,15.0,17.0,54.0,41.0,1
42000142,2021-05-26,141.0,129.0,2020,Salt Lake City Stars,Memphis,Wells Fargo Center,0.544,0.541,0.774,0.763,0.48700000000000004,0.348,28.0,20.0,42.0,33.0,1
42000112,2021-05-25,130.0,108.0,2020,Delaware Blue Coats,New Orleans,AmericanAirlines Arena,0.523,0.424,0.955,0.7829999999999999,0.447,0.353,31.0,23.0,46.0,43.0,1
42000152,2021-05-25,102.0,109.0,2020,Random Team Name,Brooklyn,Chase Center,0.465,0.45,0.9329999999999999,0.871,0.308,0.303,21.0,24.0,31.0,39.0,0
42000172,2021-05-25,121.0,127.0,2020,Capital City Go-Go,San Antonio,Bankers Life Fieldhouse,0.536,0.585,0.9,0.542,0.39399999999999996,0.529,23.0,25.0,39.0,34.0,0
42000122,2021-05-24,132.0,98.0,2020,Canton Charge,New York,Moda Center,0.489,0.402,0.9,0.6859999999999999,0.415,0.28600000000000003,34.0,20.0,61.0,36.0,1
42000162,2021-05-24,128.0,109.0,2020,Santa Cruz Warriors,Washington,Smoothie King Center,0.535,0.479,0.8,0.821,0.429,0.485,29.0,15.0,35.0,40.0,1
42000101,2021-05-23,125.0,118.0,2020,Rio Grande Valley Vipers,Atlanta,Pepsi Center,0.495,0.557,0.6970000000000001,0.8,0.313,0.4,27.0,26.0,40.0,41.0,1
42000151,2021-05-23,99.0,90.0,2020,Erie Bayhawks,Memphis,Amway Center,0.465,0.434,0.833,0.607,0.321,0.26899999999999996,24.0,19.0,47.0,33.0,1
42000131,2021-05-23,105.0,107.0,2020,Greensboro Swarm,Charlotte,American Airlines Center,0.447,0.467,0.733,0.917,0.33299999999999996,0.353,21.0,17.0,49.0,42.0,0
42000141,2021-05-23,109.0,112.0,2020,Wisconsin Herd,Golden State,Pepsi Center,0.42,0.45,0.879,0.7140000000000001,0.255,0.35,20.0,18.0,50.0,42.0,0
42000121,2021-05-22,109.0,107.0,2020,Greensboro Swarm,Oklahoma City,AT&T Center,0.43799999999999994,0.364,0.606,0.789,0.161,0.4,19.0,22.0,64.0,51.0,1
42000171,2021-05-22,103.0,113.0,2020,Capital City Go-Go,Philadelphia,Moda Center,0.44,0.5,0.75,0.769,0.275,0.47200000000000003,22.0,22.0,39.0,42.0,0
42000111,2021-05-22,104.0,93.0,2020,Sioux Falls Skyforce,Philadelphia,Smoothie King Center,0.41700000000000004,0.369,0.897,0.769,0.235,0.36700000000000005,18.0,19.0,50.0,40.0,1
42000161,2021-05-22,109.0,123.0,2020,Wisconsin Herd,Charlotte,Little Caesars Arena,0.505,0.473,0.5,0.9470000000000001,0.306,0.475,22.0,29.0,48.0,39.0,0
52000211,2021-05-21,112.0,117.0,2020,Grand Rapids Drive,Washington,Chase Center,0.447,0.408,0.8,0.846,0.353,0.429,30.0,22.0,48.0,47.0,0
52000201,2021-05-20,142.0,115.0,2020,Canton Charge,Los Angeles,Little Caesars Arena,0.581,0.41,0.769,0.857,0.5,0.366,34.0,30.0,52.0,40.0,1
52000131,2021-05-19,100.0,96.0,2020,Erie Bayhawks,Milwaukee,Staples Center,0.444,0.35100000000000003,0.542,0.833,0.318,0.364,18.0,20.0,56.0,55.0,1
52000121,2021-05-19,103.0,100.0,2020,Northern Arizona Suns,Washington,Chase Center,0.40700000000000003,0.446,0.76,0.733,0.32299999999999995,0.441,27.0,19.0,49.0,46.0,1
52000111,2021-05-18,144.0,117.0,2020,Austin Spurs,Detroit,Target Center,0.552,0.457,0.8,0.76,0.457,0.3,35.0,26.0,54.0,36.0,1
52000101,2021-05-18,118.0,100.0,2020,Fort Wayne Mad Ants,Toronto,Scotiabank Arena,0.396,0.435,0.8440000000000001,0.85,0.33299999999999996,0.14300000000000002,20.0,17.0,49.0,49.0,1
22001073,2021-05-16,96.0,92.0,2020,Texas Legends,Miami,Amway Center,0.43,0.40700000000000003,0.789,0.733,0.48100000000000004,0.268,16.0,19.0,41.0,46.0,1
22001079,2021-05-16,113.0,125.0,2020,South Bay Lakers,Boston,AT&T Center,0.402,0.505,0.7929999999999999,0.778,0.316,0.405,21.0,34.0,48.0,47.0,0
22001080,2021-05-16,115.0,110.0,2020,Austin Spurs,Toronto,Target Center,0.484,0.39399999999999996,0.81,0.917,0.32299999999999995,0.311,22.0,25.0,53.0,42.0,1
22001078,2021-05-16,121.0,123.0,2020,Rio Grande Valley Vipers,Philadelphia,Golden 1 Center,0.51,0.51,0.737,1.0,0.292,0.371,30.0,36.0,46.0,48.0,0
22001070,2021-05-16,113.0,101.0,2020,Iowa Wolves,Detroit,Fiserv Forum,0.494,0.435,0.889,0.789,0.385,0.24,26.0,25.0,46.0,39.0,1
22001066,2021-05-16,124.0,95.0,2020,Stockton Kings,Charlotte,Toyota Center,0.544,0.337,0.731,0.75,0.33299999999999996,0.28600000000000003,32.0,25.0,56.0,43.0,1
22001067,2021-05-16,123.0,109.0,2020,South Bay Lakers,Minnesota,Spectrum Center,0.5660000000000001,0.447,0.765,0.677,0.5329999999999999,0.308,35.0,16.0,37.0,45.0,1
22001075,2021-05-16,128.0,117.0,2020,Fort Wayne Mad Ants,Philadelphia,Fiserv Forum,0.489,0.474,0.7390000000000001,0.8540000000000001,0.475,0.35700000000000004,35.0,23.0,41.0,47.0,1
22001069,2021-05-16,107.0,120.0,2020,Santa Cruz Warriors,Milwaukee,Staples Center,0.465,0.56,0.727,0.65,0.314,0.382,26.0,32.0,33.0,39.0,0
22001068,2021-05-16,118.0,112.0,2020,Salt Lake City Stars,Philadelphia,AmericanAirlines Arena,0.517,0.42200000000000004,0.737,0.75,0.43799999999999994,0.324,23.0,14.0,45.0,41.0,1
22001071,2021-05-16,136.0,121.0,2020,Raptors 905,Phoenix,State Farm Arena,0.544,0.484,0.84,0.85,0.425,0.42100000000000004,35.0,32.0,38.0,38.0,1
22001072,2021-05-16,98.0,110.0,2020,Wisconsin Herd,Memphis,Quicken Loans Arena,0.474,0.469,0.7140000000000001,0.6,0.36,0.314,26.0,30.0,47.0,42.0,0
22001074,2021-05-16,117.0,112.0,2020,Maine Red Claws,Chicago,Moda Center,0.532,0.425,0.563,0.8,0.308,0.233,20.0,17.0,54.0,44.0,1
